identifier,name,has_kiosk,needs_maintenance,dock_count,docked_bike_count,address,xcoord,ycoord
21,Florence Bank Station,0,0,7,4,19 Meadow Street Florence MA @ Lilly Library,42.33560534097436,-72.67414237332167
24,Florence Center,0,0,10,2,31 Main Street Florence MA,42.33500642436361,-72.66802063099352
30,Jackson Street,0,0,16,8,7A-7D Jackson Street Northampton MA,42.33734607918841,-72.64224271750103
25,Cooley Dickinson Health Care,0,1,14,6,51 Locust Street Northampton MA,42.33201005381542,-72.65401071750125
29,State St/Mass Central Rail Trail,0,0,10,4,State Street/Mass Central Rail Trail,42.3357390277806,-72.66773187222574
33,Northampton High School,0,0,15,8,380 Elm Street Northampton MA,42.32516102495131,-72.65103383469621
20,Village Hill/State Hospital,0,0,14,6,Village Hill/State Hospital,42.31184626088789,-72.64740374048515
26,John M Greene Hall/Smith College,0,0,16,5,1 Chapin Way Northampton MA @ John M. Greene Hall,42.31958717176215,-72.63798050030691
23,Forbes Library,0,0,13,6,20 West Street Northampton MA,42.31662794605882,-72.63578875982994
27,Pulaski Park/Downtown,1,0,11,3,274 Main Street Northampton MA at Pulaski Park,42.31762210411866,-72.63332280215825
31,Main Street/Court House,0,1,10,3,99 Main Street Northampton MA,42.31949118042278,-72.63052892914281
28,Northampton Train Station,1,0,13,5,Northampton Train Station,42.31883721317917,-72.6264828175017
32,Main Street/Bridge Street,0,0,15,8,1 Bridge Street Northampton MA,42.320455413587176,-72.62814151750169
22,YMCA/Childs Park,0,0,17,8,YMCA/Childs Park,42.3287709712566,-72.64391849290172
